11457950.7416652;2888180.57232668;Kunming Changshui Int'l;KMG
1408119.29754139;7484813.53657096;Copenhagen;CPH
2903849.64164827;5542685.46526832;Aeroportul National Bucuresti-Baneasa;BBU
2144261.653821;6013084.45282552;Ferihegy;BUD
11870890.0527426;3468127.13536973;Chongqing Jiangbei Int'l;CKG
-9010636.81818717;4193876.94579376;Douglas Int'l;CLT
-9278245.06384242;5194851.47160067;Detroit Metro;DTW
-695066.088794348;7062376.81408713;Dublin;DUB
-16460336.7809471;9560620.05078907;Fairbanks Int'l;FAI
1113823.62159539;7100767.49950722;Hamburg;HAM
11322738.0323866;305969.028756149;Kuala Lumpur Int'l;KUL
-12818586.7464281;4312318.07591978;Mccarran Int'l;LAS
-9051095.1742841;3303441.57939511;Orlando Int'l;MCO
-10375878.2712005;5602968.03296093;Minneapolis St. Paul Int'l;MSP
1312241.13934538;6165923.94786315;Franz-Josef-Strauss;MUC
-8376010.86142587;4847951.91907906;Philadelphia Int'l;PHL
-12469300.8432467;3953301.12630708;Sky Harbor Int'l;PHX
-12465777.5348608;4980934.95281319;Salt Lake City Int'l;SLC
-10059492.0438918;4684884.61245934;Lambert St Louis Int'l;STL
2334673.21653276;6831108.55496831;Okecie Int'l;WAW
953141.168441751;6016230.71670529;Zurich Int'l;ZRH
495858.604274159;6525822.26864125;Gosselies;CRL
1310172.83880472;6165247.04246008;Munich Freight Terminal;MUCf
231322.274767891;5057160.35754691;Barcelona;BCN
1588249.16347625;6464940.04210415;Ruzyn;PRG
12683188.007766;2549427.05167921;Hong Kong Int'l;HKG
13495414.4270347;2885173.4874935;Taoyuan;TPE
530368.014053985;6856178.30660267;Schiphol;AMS
11575714.6426508;150981.231994423;Singapore Changi;SIN
-50445.1677572722;6705034.14961508;London Heathrow;LHR
19457725.2022419;-4439992.64524847;Auckland Int'l;AKL
-16695889.2664992;8665630.66786446;Anchorage Int'l;ANC
-9398192.25232862;3980635.39352989;Hartsfield-Jackson Atlanta Int'l;ATL
12978536.1627164;4877394.99928633;Beijing Capital;PEK
-8253602.3944838;523658.99161468;Eldorado Int'l;BOG
8112359.35069642;2166135.83449014;Chhatrapati Shivaji Int'l;BOM
-7905510.22260544;5216048.36974036;Gen E L Logan Int'l;BOS
-8534714.28023081;4747400.94881119;Baltimore-Washington Int'l Thurgood Marshall;BWI
3495403.40254676;3517953.30796221;Cairo Int'l;CAI
-853065.615511873;3970245.18861977;Casablanca-Anfa;CAS
-7459045.83748755;1186476.41482354;Simón Bolivar Int'l;CCS
2070281.6524537;-4024834.41816274;Cape Town Int'l;CPT
11572344.1779783;3578461.95226491;Chengdushuang Liu;CTU
8581378.67843253;3319661.31491764;Indira Gandhi Int'l;DEL
-11652233.8191248;4844090.47246585;Denver Int'l;DEN
-10802484.6943607;3882058.10739509;Dallas-Ft. Worth Int'l;DFW
11199027.8251928;1565071.67436615;Don Muang Int'l;DMK
6161987.65575711;2906798.64459153;Dubai Int'l;DXB
-8257362.26367059;4966794.1502151;Newark Int'l;EWR
-6516781.66105312;-4138585.25633591;Ministro Pistarini Int'l;EZE
-8921729.40428959;3007965.19552278;Fort Lauderdale Hollywood Int'l;FLL
-10612499.4728032;3501826.34559543;George Bush Intercontinental;IAH
3208177.55394606;5009073.44384971;Atatürk Hava Limani;IST
3142770.5911233;-3015450.74414433;OR Tambo Int'l;JNB
-14981774.8197153;8043101.51233513;Juneau Int'l;JNU
-13180502.5074881;4021308.45338283;Los Angeles Int'l;LAX
1033041.12275083;5694294.63271384;Linate;LIN
16124516.7094206;-4532903.9284334;Melbourne Int'l;MEL
-11029825.4636221;2206273.09984573;Lic Benito Juarez Int'l;MEX
13470117.2542154;1632429.07898272;Ninoy Aquino Int'l;MNL
4110482.07703918;-148127.196350303;Jomo Kenyatta Int'l;NBO
-17579549.8490865;2431513.02209797;Honolulu Int'l;HNL
-9785554.79848144;5157464.26555499;Chicago O'Hare Int'l;ORD
5198823.82600654;2870713.43543812;King Khalid Int'l;RUH
-7880717.07871312;-3948096.22825857;Arturo Merino Benitez Int'l;SCL
-13614628.6148073;6014780.89274497;Seattle-Tacoma Int'l;SEA
-13623665.6002578;4525464.67765374;San Francisco Int'l;SFO
13507638.7915963;3657092.03852014;Hongqiao;SHA
4165126.62049543;7551739.13461403;Sheremtyevo;SVO
-8862302.66056038;5416201.9501678;Toronto-Pearson Int'l;YYZ
16827729.6376812;-4020289.87539523;Kingsford Smith;SYD
2779448.18572956;8471040.88842553;Helsinki Vantaa;HEL
282959.425530199;6277308.53704644;Charles de Gaulle Int'l;CDG
1479470.44066314;6901000.84732522;Berlin-Tegel Int'l;TXL
1843536.25692173;6126801.19160017;Vienna Schwechat Int'l;VIE
954210.956955686;6455056.85012803;Frankfurt Int'l;FRA
1363674.99406077;5130332.47189471;Leonardo da Vinci Int'l;FCO
15077387.3773062;4135406.32700453;Osaka Int'l;ITM
14115577.8045745;4517074.61466222;Gimpo Int'l;GMP
1235546.52497501;8442962.64811417;Oslo Gardermoen;OSL
-5334517.77571967;-1789672.74655106;Juscelino Kubitschek Int'l;BSB
-5194068.98168857;-2708004.70580619;Congonhas Int'l;CGH
-4814387.79275118;-2609340.50394027;Rio de Janeiro-Antonio Carlos Jobim Int'l;GIG
-397302.229816427;4934204.42803467;Madrid Barajas;MAD
-7347557.27110314;2088888.99441958;Luis Muñoz Marin;SJU
1996039.72220803;8322469.94700242;Arlanda;ARN
11872701.9384634;-683313.721238196;Soekarno-Hatta Int'l;CGK
2665780.76525537;4570421.60504161;Eleftherios Venizelos Int'l;ATH
15560688.8695696;4238748.93026499;Tokyo Int'l;HND
11215540.020546;1538974.086283;Suvarnabhumi Airport;BKK
